PVWatts Hourly PV Performance Data,,,,,,,,,,,
Requested Location,"800 Lancaster Ave, Villanova, PA 19085",,,,,,,,,,
Solar Resource Data Location,"NSRDB Lat/Lng: 40.05, -75.34",,,,,,,,,,
Latitude (degrees),40.05,,,,,,,,,,
Longitude (degrees),-75.34,,,,,,,,,,
Elevation (m),101.5199966,,,,,,,,,,
DC System Size (kW),1,,,,,,,,,,
Module Type,Premium,,,,,,,,,,
Array Type,Fixed (open rack),,,,,,,,,,
Array Tilt (deg),20,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,
System Losses (%),14.08,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,
Bifacial,Yes (0.7),,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,
1,9,1,0,0,-7,1.2,0.87,0,-7,0,0
1,9,2,0,0,-7,1.1,0.87,0,-7,0,0
1,9,3,0,0,-8,1,0.87,0,-8,0,0
1,9,4,0,0,-8,1,0.87,0,-8,0,0
1,9,5,0,0,-8,0.9,0.87,0,-8,0,0
1,9,6,0,0,-9,0.9,0.87,0,-9,0,0
1,9,7,0,0,-8,1,0.87,0,0,0,0
1,9,8,611,47,-6,1.2,0.87,317.039,2.458,276.489,262.728
1,9,9,797,68,-4,1.4,0.87,615.04,10.515,562.714,538.811
1,9,10,889,78,-3,1.4,0.87,826.806,16.265,741.308,711.077
1,9,11,932,82,-2,1.4,0.87,945.177,19.934,834.156,800.635
1,9,12,941,80,-2,1.4,0.87,955.384,20.273,841.823,808.03
1,9,13,919,75,-2,1.4,0.87,875.86,18.357,779.041,747.473
1,9,14,860,65,-2,1.2,0.87,697.882,15.123,629.487,603.219
1,9,15,729,48,-3,1,0.87,418.456,8.414,371.655,354.523
1,9,16,366,20,-5,0.9,0.87,119.306,-2.252,59.621,53.545
1,9,17,0,0,-6,0.9,0.87,0,-6,0,0
1,9,18,0,0,-7,0.9,0.87,0,-7,0,0
1,9,19,0,0,-8,0.9,0.11,0,-8,0,0
1,9,20,0,0,-8,0.9,0.11,0,-8,0,0
1,9,21,0,0,-9,0.8,0.11,0,-9,0,0
1,9,22,0,0,-10,0.8,0.11,0,-10,0,0
1,9,23,0,0,-10,0.8,0.11,0,-10,0,0
1,10,0,0,0,-11,0.8,0.11,0,-11,0,0
1,10,1,0,0,-11,0.8,0.11,0,-11,0,0
1,10,2,0,0,-11,0.8,0.11,0,-11,0,0
1,10,3,0,0,-12,0.8,0.11,0,-12,0,0
1,10,4,0,0,-12,0.8,0.11,0,-12,0,0
1,10,5,0,0,-12,0.8,0.11,0,-12,0,0
1,10,6,0,0,-13,0.8,0.11,0,-13,0,0
1,10,7,0,0,-11,0.8,0.11,0,0,0,0
1,10,8,653,39,-9,1,0.11,304.11,-0.036,266.785,253.368
1,10,9,823,55,-7,1.2,0.11,534.691,8.092,493.717,472.259
1,10,10,889,66,-5,1.2,0.11,696.86,14.628,629.403,603.138
1,10,11,919,70,-3,1.2,0.11,780.55,18.969,692.899,664.383
1,10,12,919,71,-2,1.2,0.11,790.069,20.232,697.979,669.284
1,10,13,894,67,-2,1.1,0.11,720.293,18.783,640.833,614.162
1,10,14,830,60,-2,1,0.11,580.237,15.189,523.35,500.843
1,10,15,696,46,-4,0.7,0.11,368.547,7.81,327.495,311.927
1,10,16,342,20,-6,0.6,0.11,110.628,-3.133,55.406,49.479
1,10,17,0,0,-7,0.6,0.11,0,-7,0,0
1,10,18,0,0,-8,0.6,0.11,0,-8,0,0
1,10,19,0,0,-8,0.6,0.11,0,-8,0,0
1,10,20,0,0,-8,0.7,0.11,0,-8,0,0
1,10,21,0,0,-9,0.7,0.11,0,-9,0,0
1,10,22,0,0,-9,0.7,0.11,0,-9,0,0
1,10,23,0,0,-9,0.7,0.11,0,-9,0,0
1,11,0,0,0,-10,0.7,0.11,0,-10,0,0
1,11,1,0,0,-10,0.7,0.11,0,-10,0,0
1,11,2,0,0,-10,0.7,0.11,0,-10,0,0
1,11,3,0,0,-10,0.7,0.11,0,-10,0,0
1,11,4,0,0,-11,0.7,0.11,0,-11,0,0
1,11,5,0,0,-11,0.7,0.11,0,-11,0,0
1,11,6,0,0,-11,0.7,0.11,0,-11,0,0
1,11,7,0,0,-10,0.7,0.11,0,0,0,0
1,11,8,569,48,-7,0.8,0.11,284.904,1.841,248.511,235.741
1,11,9,298,114,-5,1,0.11,303.143,3.931,278.406,264.578
1,11,10,441,139,-4,0.9,0.11,477.123,10.415,432.199,412.921
1,11,11,424,169,-2,0.8,0.11,530.956,14.45,473.097,452.37
1,11,12,412,175,-2,0.7,0.11,533.048,14.959,473.755,453.005
1,11,13,521,133,-1,0.7,0.11,539.19,16.203,479.788,458.824
1,11,14,778,71,-1,0.6,0.11,564.195,17.581,504.074,482.249
1,11,15,619,56,-3,0.4,0.11,350.582,9.237,310.131,295.179
1,11,16,259,23,-4,0.4,0.11,96.866,-1.309,48.968,43.269
1,11,17,0,0,-4,0.4,0.11,0,-4,0,0
1,11,18,0,0,-5,0.4,0.11,0,-5,0,0
1,11,19,0,0,-5,0.4,0.11,0,-5,0,0
